0.000	33.181
0.977	33.119
1.142	33.119
1.307	33.115
1.509	33.119
1.748	33.126
1.976	33.129
2.214	33.126
2.465	33.132
2.705	33.139
2.930	33.142
3.182	33.142
3.422	33.142
3.661	33.142
3.898	33.149
4.139	33.149
4.379	33.146
4.618	33.156
4.855	33.152
5.095	33.149
5.335	33.152
5.574	33.152
5.812	33.159
6.051	33.163
6.292	33.169
6.531	33.169
6.769	33.169
6.993	33.176
7.248	33.179
7.486	33.176
7.726	33.173
7.965	33.179
8.205	33.183
8.443	33.186
8.682	33.190
8.921	33.190
9.161	33.190
9.399	33.193
9.639	33.190
9.878	33.190
10.118	33.200
10.355	33.206
10.595	33.206
10.835	33.210
11.074	33.213
11.313	33.210
11.552	33.213
11.792	33.220
12.030	33.216
12.269	33.227
12.508	33.230
12.748	33.227
12.975	33.230
13.226	33.233
13.465	33.240
13.705	33.240
13.930	33.240
14.182	33.240
14.421	33.240
14.661	33.250
14.901	33.253
15.139	33.250
15.378	33.250
15.618	33.250
15.857	33.250
16.095	33.253
16.334	33.257
16.574	33.260
16.813	33.257
17.051	33.257
17.291	33.264
17.528	33.267
17.770	33.267
17.993	33.270
18.247	33.274
18.487	33.270
18.727	33.267
18.965	33.274
19.204	33.274
19.444	33.274
19.682	33.277
19.921	33.277
20.161	33.277
20.401	33.277
20.639	33.277
20.878	33.274
21.118	33.274
21.357	33.277
21.595	33.280
21.834	33.287
22.073	33.290
22.314	33.287
22.552	33.290
22.791	33.294
23.029	33.287
23.271	33.280
23.508	33.284
23.747	33.287
23.976	33.290
24.228	33.294
24.465	33.294
24.696	33.294
24.930	33.290
25.183	33.290
25.421	33.287
25.660	33.287
25.901	33.284
26.140	33.287
26.378	33.294
26.617	33.297
26.857	33.294
27.096	33.297
27.334	33.301
27.574	33.297
27.814	33.301
28.053	33.297
28.291	33.297
28.531	33.304
28.771	33.304
28.992	33.307
29.247	33.314
29.488	33.321
29.728	33.324
29.965	33.328
30.204	33.331
30.444	33.334
30.684	33.331
30.921	33.334
31.161	33.334
31.401	33.341
31.641	33.344
31.864	33.341
32.117	33.354
32.357	33.361
32.597	33.354
32.835	33.361
33.074	33.365
33.314	33.368
33.554	33.368
33.791	33.375
34.030	33.375
34.271	33.375
34.509	33.378
34.748	33.378
34.976	33.381
35.228	33.381
35.466	33.381
35.704	33.388
35.930	33.388
36.184	33.385
36.422	33.388
36.661	33.395
36.900	33.402
37.141	33.405
37.378	33.408
37.617	33.408
37.857	33.415
38.097	33.432
38.335	33.526
38.574	33.691
38.813	33.839
39.053	33.960
39.291	34.064
39.530	34.141
39.770	34.205
39.992	34.259
40.248	34.306
40.487	34.343
40.728	34.373
40.966	34.407
41.204	34.427
41.443	34.447
41.684	34.460
41.924	34.467
42.150	34.480
42.400	34.487
42.641	34.497
42.880	34.507
43.117	34.497
43.356	34.501
43.598	34.507
43.837	34.507
44.074	34.501
44.313	34.494
44.554	34.490
44.792	34.484
45.030	34.474
45.270	34.464
45.511	34.467
45.749	34.457
45.976	34.450
46.227	34.443
46.467	34.437
46.704	34.430
46.930	34.430
47.184	34.417
47.424	34.407
47.661	34.407
47.900	34.396
48.141	34.386
